Year,Day of Week,Month,Day,Time (ET),Game Type,Home Team,Away Team,Arena,City,State,Attendance,Date
2022,Wednesday,August,10,8:00 PM,Regular season,Dallas Wings,New York Liberty,College Park Center,Arlington,TX,3795,2022-08-10
2022,Wednesday,August,10,10:00 PM,Regular season,Phoenix Mercury,Minnesota Lynx,Footprint Center,Phoenix,AZ,7307,2022-08-10
2022,Thursday,August,11,10:00 PM,Regular season,Las Vegas Aces,Chicago Sky,Michelob ULTRA Arena,Las Vegas,NV,6055,2022-08-11
2022,Thursday,August,11,6:00 AM,Regular season,Los Angeles Sparks,Connecticut Sun,Crypto.com Arena,Los Angeles,CA,4987,2022-08-11
2022,Friday,August,12,7:00 PM,Regular season,Indiana Fever,Washington Mystics,Hinkle Fieldhouse,Indianapolis,IN,1700,2022-08-12
2022,Friday,August,12,3:00 AM,Regular season,Atlanta Dream,New York Liberty,Gateway Center Arena @ College Park,Atlanta,GA,3138,2022-08-12
2022,Friday,August,12,9:00 PM,Regular season,Minnesota Lynx,Seattle Storm,Target Center,Minneapolis,MN,12134,2022-08-12
2022,Friday,August,12,10:00 PM,Regular season,Phoenix Mercury,Dallas Wings,Footprint Center,Phoenix,AZ,8047,2022-08-12
2022,Sunday,August,14,1:00 PM,Regular season,Connecticut Sun,Minnesota Lynx,Mohegan Sun Arena,Uncasville,CT,7489,2022-08-14
2022,Sunday,August,14,2:00 PM,Regular season,New York Liberty,Atlanta Dream,Barclays Center,Brooklyn,NY,7561,2022-08-14
2022,Sunday,August,14,3:00 PM,Regular season,Washington Mystics,Indiana Fever,Entertainment and Sports Arena,Washington,DC,4200,2022-08-14
2022,Sunday,August,14,5:00 PM,Regular season,Phoenix Mercury,Chicago Sky,Footprint Center,Phoenix,AZ,12383,2022-08-14
2022,Sunday,August,14,3:00 PM,Regular season,Las Vegas Aces,Seattle Storm,Michelob ULTRA Arena,Las Vegas,NV,10015,2022-08-14
2022,Sunday,August,14,7:00 PM,Regular season,Los Angeles Sparks,Dallas Wings,Crypto.com Arena,Los Angeles,CA,7245,2022-08-14
2022,Sunday,July,10,1:00 PM,All star,Team Wilson,Team Stewart,Wintrust Arena,Chicago,IL,9572,2022-07-10
2022,Wednesday,August,17,8:00 PM,First Round,Chicago Sky,New York Liberty,Wintrust Arena,Chicago,IL,7524,2022-08-17
2022,Wednesday,August,17,10:00 PM,First Round,Las Vegas Aces,Phoenix Mercury,Michelob ULTRA Arena,Las Vegas,NV,8725,2022-08-17
2022,Thursday,August,18,8:00 PM,First Round,Connecticut Sun,Dallas Wings,Mohegan Sun Arena,Uncasville,CT,4797,2022-08-18
2022,Thursday,August,18,10:00 PM,First Round,Seattle Storm,Washington Mystics,Climate Pledge Arena,Seattle,WA,8917,2022-08-18
2022,Saturday,August,20,12:00 PM,First Round,Chicago Sky,New York Liberty,Wintrust Arena,Chicago,IL,7732,2022-08-20
2022,Saturday,August,20,9:00 PM,First Round,Las Vegas Aces,Phoenix Mercury,Michelob ULTRA Arena,Las Vegas,NV,9126,2022-08-20
2022,Sunday,August,21,12:00 PM,First Round,Connecticut Sun,Dallas Wings,Mohegan Sun Arena,Uncasville,CT,6788,2022-08-21
2022,Sunday,August,21,4:00 PM,First Round,Seattle Storm,Washington Mystics,Climate Pledge Arena,Seattle,WA,12490,2022-08-21
2022,Tuesday,August,23,9:00 PM,First Round,New York Liberty,Chicago Sky,Barclays Center,Brooklyn,NY,7837,2022-08-23
2022,Wednesday,August,24,9:00 PM,First Round,Dallas Wings,Connecticut Sun,College Park Center,Arlington,TX,5016,2022-08-24
2022,Sunday,August,28,4:00 PM,Semifinals,Las Vegas Aces,Seattle Storm,Michelob ULTRA Arena,Las Vegas,NV,9944,2022-08-28
2022,Wednesday,August,31,10:00 PM,Semifinals,Las Vegas Aces,Seattle Storm,Michelob ULTRA Arena,Las Vegas,NV,9755,2022-08-31
2022,Sunday,September,4,3:00 PM,Semifinals,Seattle Storm,Las Vegas Aces,Climate Pledge Arena,Seattle,WA,15431,2022-09-04
2022,Sunday,August,28,8:00 PM,Semifinals,Chicago Sky,Connecticut Sun,Wintrust Arena,Chicago,IL,8955,2022-08-28
2022,Wednesday,August,31,8:00 PM,Semifinals,Chicago Sky,Connecticut Sun,Wintrust Arena,Chicago,IL,8311,2022-08-31
2022,Sunday,September,4,1:00 PM,Semifinals,Connecticut Sun,Chicago Sky,Mohegan Sun Arena,Uncasville,CT,9142,2022-09-04
2022,Tuesday,September,6,8:00 PM,Semifinals,Connecticut Sun,Chicago Sky,Mohegan Sun Arena,Uncasville,CT,5868,2022-09-06
2022,Tuesday,September,6,10:00 PM,Semifinals,Seattle Storm,Las Vegas Aces,Climate Pledge Arena,Seattle,WA,11328,2022-09-06
2022,Thursday,September,8,8:00 PM,Semifinals,Chicago Sky,Connecticut Sun,Wintrust Arena,Chicago,IL,8014,2022-09-08
2022,Sunday,September,11,3:00 PM,Finals,Las Vegas Aces,Connecticut Sun,Michelob ULTRA Arena,Las Vegas,NV,10135,2022-09-11
2022,Tuesday,September,13,9:00 PM,Finals,Las Vegas Aces,Connecticut Sun,Michelob ULTRA Arena,Las Vegas,NV,10211,2022-09-13
2022,Thursday,September,15,9:00 PM,Finals,Connecticut Sun,Las Vegas Aces,Mohegan Sun Arena,Uncasville,CT,8745,2022-09-15
2022,Sunday,September,18,4:00 PM,Finals,Connecticut Sun,Las Vegas Aces,Mohegan Sun Arena,Uncasville,CT,9652,2022-09-18
2023,Friday,May,19,7:00 PM,Regular season,Indiana Fever,Connecticut Sun,Gainbridge Fieldhouse,Indianapolis,IN,7356,2023-05-19
2023,Friday,May,19,7:00 PM,Regular season,Washington Mystics,New York Liberty,Entertainment and Sports Arena,Washington,DC,4200,2023-05-19
2023,Friday,May,19,8:00 PM,Regular season,Minnesota Lynx,Chicago Sky,Target Center,Minneapolis,MN,8024,2023-05-19
2023,Friday,May,19,11:00 PM,Regular season,Los Angeles Sparks,Phoenix Mercury,Crypto.com Arena,Los Angeles,CA,10396,2023-05-19
2023,Saturday,May,20,3:00 PM,Regular season,Seattle Storm,Las Vegas Aces,Climate Pledge Arena,Seattle,WA,11229,2023-05-20
2023,Saturday,May,20,1:00 PM,Regular season,Dallas Wings,Atlanta Dream,College Park Center,Arlington,TX,5588,2023-05-20
2023,Sunday,May,21,1:00 PM,Regular season,Connecticut Sun,Washington Mystics,Mohegan Sun Arena,Uncasville,CT,7048,2023-05-21
2023,Sunday,May,21,2:00 PM,Regular season,New York Liberty,Indiana Fever,Barclays Center,Brooklyn,NY,8575,2023-05-21
2023,Sunday,May,21,4:00 PM,Regular season,Phoenix Mercury,Chicago Sky,Footprint Center,Phoenix,AZ,14040,2023-05-21
2023,Tuesday,May,23,7:00 PM,Regular season,Washington Mystics,Connecticut Sun,Entertainment and Sports Arena,Washington,DC,3383,2023-05-23
2023,Tuesday,May,23,8:00 PM,Regular season,Minnesota Lynx,Atlanta Dream,Target Center,Minneapolis,MN,7803,2023-05-23
2023,Thursday,May,25,10:00 PM,Regular season,Los Angeles Sparks,Las Vegas Aces,Crypto.com Arena,Los Angeles,CA,7314,2023-05-25
2023,Thursday,May,25,10:00 PM,Regular season,Phoenix Mercury,Minnesota Lynx,Footprint Center,Phoenix,AZ,6057,2023-05-25
2023,Friday,May,26,8:00 PM,Regular season,Chicago Sky,Washington Mystics,Wintrust Arena,Chicago,IL,7304,2023-05-26
2023,Friday,May,26,10:00 PM,Regular season,Seattle Storm,Dallas Wings,Climate Pledge Arena,Seattle,WA,8277,2023-05-26
2023,Saturday,May,27,1:00 PM,Regular season,New York Liberty,Connecticut Sun,Barclays Center,Brooklyn,NY,7102,2023-05-27
2023,Saturday,May,27,9:00 PM,Regular season,Las Vegas Aces,Los Angeles Sparks,Michelob ULTRA Arena,Las Vegas,NV,10191,2023-05-27
2023,Sunday,May,28,3:00 PM,Regular season,Atlanta Dream,Indiana Fever,Gateway Center Arena @ College Park,Atlanta,GA,3209,2023-05-28
2023,Sunday,May,28,6:00 PM,Regular season,Chicago Sky,Dallas Wings,Wintrust Arena,Chicago,IL,6042,2023-05-28
2023,Sunday,May,28,9:00 PM,Regular season,Las Vegas Aces,Minnesota Lynx,Michelob ULTRA Arena,Las Vegas,NV,7970,2023-05-28
2023,Tuesday,May,30,7:00 PM,Regular season,Atlanta Dream,Chicago Sky,Gateway Center Arena @ College Park,Atlanta,GA,2562,2023-05-30
2023,Tuesday,May,30,7:00 PM,Regular season,Connecticut Sun,Indiana Fever,Mohegan Sun Arena,Uncasville,CT,5317,2023-05-30
2023,Tuesday,May,30,8:00 PM,Regular season,Dallas Wings,Minnesota Lynx,College Park Center,Arlington,TX,3484,2023-05-30
2023,Tuesday,May,30,9:00 PM,Regular season,Seattle Storm,New York Liberty,Climate Pledge Arena,Seattle,WA,8340,2023-05-30
2023,Thursday,June,1,8:00 PM,Regular season,Minnesota Lynx,Connecticut Sun,Target Center,Minneapolis,MN,8124,2023-06-01
2023,Friday,June,2,7:00 PM,Regular season,Washington Mystics,Dallas Wings,Entertainment and Sports Arena,Washington,DC,3294,2023-06-02
2023,Friday,June,2,8:00 PM,Regular season,Atlanta Dream,Las Vegas Aces,Gateway Center Arena @ College Park,Atlanta,GA,3209,2023-06-02
2023,Friday,June,2,6:00 PM,Regular season,Chicago Sky,New York Liberty,Wintrust Arena,Chicago,IL,7188,2023-06-02
2023,Friday,June,2,10:00 PM,Regular season,Phoenix Mercury,Los Angeles Sparks,Footprint Center,Phoenix,AZ,8815,2023-06-02
2023,Saturday,June,3,7:00 PM,Regular season,Washington Mystics,Minnesota Lynx,Entertainment and Sports Arena,Washington,DC,3534,2023-06-03
2023,Saturday,June,3,10:00 PM,Regular season,Los Angeles Sparks,Seattle Storm,Crypto.com Arena,Los Angeles,CA,6866,2023-06-03
2023,Sunday,June,4,1:00 PM,Regular season,Connecticut Sun,Dallas Wings,Mohegan Sun Arena,Uncasville,CT,5012,2023-06-04
2023,Sunday,June,4,2:00 PM,Regular season,New York Liberty,Chicago Sky,Barclays Center,Brooklyn,NY,7225,2023-06-04
2023,Sunday,June,4,4:00 PM,Regular season,Indiana Fever,Las Vegas Aces,Gainbridge Fieldhouse,Indianapolis,IN,6131,2023-06-04
2023,Tuesday,June,6,7:00 PM,Regular season,Connecticut Sun,Las Vegas Aces,Mohegan Sun Arena,Uncasville,CT,4368,2023-06-06
2023,Tuesday,June,6,8:00 PM,Regular season,Chicago Sky,Indiana Fever,Wintrust Arena,Chicago,IL,5201,2023-06-06
2023,Tuesday,June,6,10:00 PM,Regular season,Seattle Storm,Los Angeles Sparks,Climate Pledge Arena,Seattle,WA,7840,2023-06-06
2023,Wednesday,June,7,8:00 PM,Regular season,Dallas Wings,Phoenix Mercury,College Park Center,Arlington,TX,4242,2023-06-07
2023,Thursday,June,8,7:00 PM,Regular season,Connecticut Sun,Las Vegas Aces,Mohegan Sun Arena,Uncasville,CT,5147,2023-06-08
2023,Friday,June,9,3:00 AM,Regular season,Atlanta Dream,New York Liberty,Gateway Center Arena @ College Park,Atlanta,GA,3209,2023-06-09
2023,Friday,June,9,8:00 PM,Regular season,Dallas Wings,Phoenix Mercury,College Park Center,Arlington,TX,6251,2023-06-09
2023,Friday,June,9,8:00 PM,Regular season,Minnesota Lynx,Indiana Fever,Target Center,Minneapolis,MN,8510,2023-06-09
2023,Friday,June,9,10:00 PM,Regular season,Los Angeles Sparks,Chicago Sky,Crypto.com Arena,Los Angeles,CA,5431,2023-06-09
2023,Friday,June,9,10:00 PM,Regular season,Seattle Storm,Washington Mystics,Climate Pledge Arena,Seattle,WA,8397,2023-06-09
2023,Sunday,June,11,1:00 PM,Regular season,New York Liberty,Dallas Wings,Barclays Center,Brooklyn,NY,7615,2023-06-11
2023,Sunday,June,11,3:00 PM,Regular season,Las Vegas Aces,Chicago Sky,Michelob ULTRA Arena,Las Vegas,NV,9786,2023-06-11
2023,Sunday,June,11,4:00 PM,Regular season,Atlanta Dream,Connecticut Sun,Gateway Center Arena @ College Park,Atlanta,GA,2690,2023-06-11
2023,Sunday,June,11,5:00 PM,Regular season,Indiana Fever,Phoenix Mercury,Gainbridge Fieldhouse,Indianapolis,IN,5013,2023-06-11
2023,Sunday,June,11,3:00 PM,Regular season,Seattle Storm,Washington Mystics,Climate Pledge Arena,Seattle,WA,13213,2023-06-11
2023,Sunday,June,11,7:00 PM,Regular season,Minnesota Lynx,Los Angeles Sparks,Target Center,Minneapolis,MN,8025,2023-06-11
2023,Tuesday,June,13,7:00 PM,Regular season,Indiana Fever,Washington Mystics,Gainbridge Fieldhouse,Indianapolis,IN,3005,2023-06-13
2023,Tuesday,June,13,8:00 PM,Regular season,New York Liberty,Atlanta Dream,Barclays Center,Brooklyn,NY,5719,2023-06-13
2023,Tuesday,June,13,10:00 PM,Regular season,Phoenix Mercury,Seattle Storm,Footprint Center,Phoenix,AZ,7044,2023-06-13
2023,Wednesday,June,14,1:00 PM,Regular season,Dallas Wings,Los Angeles Sparks,College Park Center,Arlington,TX,5807,2023-06-14
2023,Thursday,June,15,7:00 PM,Regular season,Connecticut Sun,Atlanta Dream,Mohegan Sun Arena,Uncasville,CT,4316,2023-06-15
2023,Thursday,June,15,8:00 PM,Regular season,Chicago Sky,Indiana Fever,Wintrust Arena,Chicago,IL,6323,2023-06-15
2023,Thursday,June,15,10:00 PM,Regular season,Las Vegas Aces,Seattle Storm,Michelob ULTRA Arena,Las Vegas,NV,8518,2023-06-15
2023,Friday,June,16,8:00 PM,Regular season,Washington Mystics,Phoenix Mercury,Entertainment and Sports Arena,Washington,DC,4200,2023-06-16
2023,Friday,June,16,10:00 PM,Regular season,Los Angeles Sparks,Minnesota Lynx,Crypto.com Arena,Los Angeles,CA,5265,2023-06-16
2023,Saturday,June,17,2:00 PM,Regular season,Dallas Wings,Seattle Storm,College Park Center,Arlington,TX,5020,2023-06-17
2023,Sunday,June,18,12:00 PM,Regular season,New York Liberty,Phoenix Mercury,Barclays Center,Brooklyn,NY,9278,2023-06-18
2023,Sunday,June,18,3:00 PM,Regular season,Washington Mystics,Chicago Sky,Entertainment and Sports Arena,Washington,DC,4009,2023-06-18
2023,Sunday,June,18,4:00 PM,Regular season,Indiana Fever,Atlanta Dream,Gainbridge Fieldhouse,Indianapolis,IN,4024,2023-06-18
2023,Sunday,June,18,3:00 AM,Regular season,Los Angeles Sparks,Connecticut Sun,Crypto.com Arena,Los Angeles,CA,6289,2023-06-18
2023,Sunday,June,18,9:00 PM,Regular season,Las Vegas Aces,Minnesota Lynx,Michelob ULTRA Arena,Las Vegas,NV,8036,2023-06-18
2023,Tuesday,June,20,8:00 PM,Regular season,Dallas Wings,Atlanta Dream,College Park Center,Arlington,TX,3392,2023-06-20
2023,Tuesday,June,20,10:00 PM,Regular season,Los Angeles Sparks,Minnesota Lynx,Crypto.com Arena,Los Angeles,CA,4180,2023-06-20
2023,Tuesday,June,20,10:00 PM,Regular season,Seattle Storm,Connecticut Sun,Climate Pledge Arena,Seattle,WA,7022,2023-06-20
2023,Wednesday,June,21,11:00 AM,Regular season,Phoenix Mercury,Las Vegas Aces,Footprint Center,Phoenix,AZ,11580,2023-06-21
2023,Thursday,June,22,8:00 PM,Regular season,Chicago Sky,Washington Mystics,Wintrust Arena,Chicago,IL,6158,2023-06-22
2023,Thursday,June,22,8:00 PM,Regular season,Minnesota Lynx,Connecticut Sun,Target Center,Minneapolis,MN,7024,2023-06-22
2023,Thursday,June,22,10:00 PM,Regular season,Seattle Storm,Indiana Fever,Climate Pledge Arena,Seattle,WA,7734,2023-06-22
2023,Friday,June,23,3:00 AM,Regular season,Atlanta Dream,New York Liberty,Gateway Center Arena @ College Park,Atlanta,GA,3209,2023-06-23
2023,Friday,June,23,10:00 PM,Regular season,Los Angeles Sparks,Dallas Wings,Crypto.com Arena,Los Angeles,CA,5766,2023-06-23
2023,Saturday,June,24,9:00 PM,Regular season,Las Vegas Aces,Indiana Fever,Michelob ULTRA Arena,Las Vegas,NV,8310,2023-06-24
2023,Saturday,June,24,9:00 PM,Regular season,Seattle Storm,Phoenix Mercury,Climate Pledge Arena,Seattle,WA,9122,2023-06-24
2023,Sunday,June,25,1:00 PM,Regular season,Connecticut Sun,Chicago Sky,Mohegan Sun Arena,Uncasville,CT,6517,2023-06-25
2023,Sunday,June,25,1:00 PM,Regular season,New York Liberty,Washington Mystics,Barclays Center,Brooklyn,NY,7285,2023-06-25
2023,Sunday,June,25,3:00 PM,Regular season,Los Angeles Sparks,Dallas Wings,Crypto.com Arena,Los Angeles,CA,6380,2023-06-25
2023,Monday,June,26,10:00 PM,Regular season,Las Vegas Aces,Indiana Fever,Michelob ULTRA Arena,Las Vegas,NV,8143,2023-06-26
2023,Tuesday,June,27,7:00 PM,Regular season,Connecticut Sun,New York Liberty,Mohegan Sun Arena,Uncasville,CT,7344,2023-06-27
2023,Tuesday,June,27,8:00 PM,Regular season,Minnesota Lynx,Seattle Storm,Target Center,Minneapolis,MN,7014,2023-06-27
2023,Tuesday,June,27,10:00 PM,Regular season,Phoenix Mercury,Dallas Wings,Footprint Center,Phoenix,AZ,5652,2023-06-27
2023,Wednesday,June,28,12:00 PM,Regular season,Chicago Sky,Los Angeles Sparks,Wintrust Arena,Chicago,IL,8810,2023-06-28
2023,Wednesday,June,28,7:00 PM,Regular season,Washington Mystics,Atlanta Dream,Entertainment and Sports Arena,Washington,DC,3624,2023-06-28
2023,Thursday,June,29,10:00 PM,Regular season,Las Vegas Aces,New York Liberty,Michelob ULTRA Arena,Las Vegas,NV,9587,2023-06-29
2023,Thursday,June,29,10:00 PM,Regular season,Phoenix Mercury,Indiana Fever,Footprint Center,Phoenix,AZ,9047,2023-06-29
2023,Thursday,June,29,10:00 PM,Regular season,Seattle Storm,Minnesota Lynx,Climate Pledge Arena,Seattle,WA,6894,2023-06-29
2023,Friday,June,30,3:00 AM,Regular season,Atlanta Dream,Washington Mystics,Gateway Center Arena @ College Park,Atlanta,GA,3209,2023-06-30
2023,Friday,June,30,8:00 PM,Regular season,Chicago Sky,Los Angeles Sparks,Wintrust Arena,Chicago,IL,7272,2023-06-30
2023,Saturday,July,1,3:00 PM,Regular season,Las Vegas Aces,Connecticut Sun,Michelob ULTRA Arena,Las Vegas,NV,8596,2023-07-01
2023,Saturday,July,1,10:00 PM,Regular season,Phoenix Mercury,Minnesota Lynx,Footprint Center,Phoenix,AZ,8777,2023-07-01
2023,Sunday,July,2,3:00 PM,Regular season,Atlanta Dream,Los Angeles Sparks,Gateway Center Arena @ College Park,Atlanta,GA,3209,2023-07-02
2023,Sunday,July,2,4:00 PM,Regular season,Indiana Fever,Chicago Sky,Gainbridge Fieldhouse,Indianapolis,IN,4004,2023-07-02
2023,Sunday,July,2,3:00 PM,Regular season,Dallas Wings,Washington Mystics,College Park Center,Arlington,TX,4544,2023-07-02
2023,Sunday,July,2,6:00 PM,Regular season,Seattle Storm,New York Liberty,Climate Pledge Arena,Seattle,WA,9110,2023-07-02
2023,Wednesday,July,5,7:00 PM,Regular season,New York Liberty,Phoenix Mercury,Barclays Center,Brooklyn,NY,7151,2023-07-05
2023,Wednesday,July,5,8:00 PM,Regular season,Minnesota Lynx,Indiana Fever,Target Center,Minneapolis,MN,7624,2023-07-05
2023,Wednesday,July,5,10:00 PM,Regular season,Las Vegas Aces,Dallas Wings,Michelob ULTRA Arena,Las Vegas,NV,10177,2023-07-05
2023,Wednesday,July,5,10:00 PM,Regular season,Los Angeles Sparks,Atlanta Dream,Crypto.com Arena,Los Angeles,CA,5912,2023-07-05
2023,Thursday,July,6,7:00 PM,Regular season,Connecticut Sun,Seattle Storm,Mohegan Sun Arena,Uncasville,CT,5479,2023-07-06
2023,Friday,July,7,7:00 PM,Regular season,Washington Mystics,Indiana Fever,Entertainment and Sports Arena,Washington,DC,4200,2023-07-07
2023,Friday,July,7,8:00 PM,Regular season,Chicago Sky,Atlanta Dream,Wintrust Arena,Chicago,IL,7911,2023-07-07
2023,Friday,July,7,8:00 PM,Regular season,Dallas Wings,Las Vegas Aces,College Park Center,Arlington,TX,6251,2023-07-07
2023,Friday,July,7,8:00 PM,Regular season,Minnesota Lynx,Phoenix Mercury,Target Center,Minneapolis,MN,7714,2023-07-07
2023,Saturday,July,8,2:00 PM,Regular season,New York Liberty,Seattle Storm,Barclays Center,Brooklyn,NY,6789,2023-07-08
2023,Sunday,July,9,3:00 PM,Regular season,Connecticut Sun,Washington Mystics,Mohegan Sun Arena,Uncasville,CT,6558,2023-07-09
2023,Sunday,July,9,4:00 PM,Regular season,Indiana Fever,Dallas Wings,Gainbridge Fieldhouse,Indianapolis,IN,3612,2023-07-09
2023,Sunday,July,9,6:00 PM,Regular season,Phoenix Mercury,Los Angeles Sparks,Footprint Center,Phoenix,AZ,9206,2023-07-09
2023,Sunday,July,9,7:00 PM,Regular season,Minnesota Lynx,Las Vegas Aces,Target Center,Minneapolis,MN,7701,2023-07-09
2023,Sunday,July,9,8:00 PM,Regular season,Chicago Sky,Atlanta Dream,Wintrust Arena,Chicago,IL,7325,2023-07-09
2023,Tuesday,July,11,7:00 PM,Regular season,Washington Mystics,Seattle Storm,Entertainment and Sports Arena,Washington,DC,3571,2023-07-11
2023,Tuesday,July,11,10:00 PM,Regular season,Las Vegas Aces,Phoenix Mercury,Michelob ULTRA Arena,Las Vegas,NV,10281,2023-07-11
2023,Wednesday,July,12,12:00 PM,Regular season,Indiana Fever,New York Liberty,Gainbridge Fieldhouse,Indianapolis,IN,6123,2023-07-12
2023,Wednesday,July,12,12:00 PM,Regular season,Chicago Sky,Connecticut Sun,Wintrust Arena,Chicago,IL,9025,2023-07-12
2023,Wednesday,July,12,1:00 PM,Regular season,Minnesota Lynx,Dallas Wings,Target Center,Minneapolis,MN,13531,2023-07-12
2023,Wednesday,July,12,7:00 PM,Regular season,Atlanta Dream,Seattle Storm,Gateway Center Arena @ College Park,Atlanta,GA,2546,2023-07-12
2023,Wednesday,July,12,10:00 PM,Regular season,Los Angeles Sparks,Las Vegas Aces,Crypto.com Arena,Los Angeles,CA,8085,2023-07-12
2023,Tuesday,July,18,7:00 PM,Regular season,Atlanta Dream,Minnesota Lynx,Gateway Center Arena @ College Park,Atlanta,GA,2394,2023-07-18
2023,Tuesday,July,18,10:00 PM,Regular season,Phoenix Mercury,Connecticut Sun,Footprint Center,Phoenix,AZ,7788,2023-07-18
2023,Wednesday,July,19,7:00 AM,Regular season,Washington Mystics,Indiana Fever,Capital One Arena,Washington,DC,14406,2023-07-19
2023,Wednesday,July,19,1:00 PM,Regular season,New York Liberty,Dallas Wings,Barclays Center,Brooklyn,NY,9012,2023-07-19
2023,Thursday,July,20,7:00 AM,Regular season,Connecticut Sun,Atlanta Dream,Mohegan Sun Arena,Uncasville,CT,8054,2023-07-20
2023,Thursday,July,20,8:00 PM,Regular season,Minnesota Lynx,Los Angeles Sparks,Target Center,Minneapolis,MN,7014,2023-07-20
2023,Thursday,July,20,10:00 PM,Regular season,Phoenix Mercury,Chicago Sky,Footprint Center,Phoenix,AZ,11292,2023-07-20
2023,Thursday,July,20,10:00 PM,Regular season,Seattle Storm,Las Vegas Aces,Climate Pledge Arena,Seattle,WA,7873,2023-07-20
2023,Friday,July,21,7:00 PM,Regular season,Washington Mystics,New York Liberty,Entertainment and Sports Arena,Washington,DC,4200,2023-07-21
2023,Saturday,July,22,1:00 PM,Regular season,Atlanta Dream,Connecticut Sun,Gateway Center Arena @ College Park,Atlanta,GA,3209,2023-07-22
2023,Saturday,July,22,9:00 PM,Regular season,Seattle Storm,Chicago Sky,Climate Pledge Arena,Seattle,WA,8655,2023-07-22
2023,Saturday,July,22,8:00 PM,Regular season,Dallas Wings,Los Angeles Sparks,College Park Center,Arlington,TX,5041,2023-07-22
2023,Saturday,July,22,3:00 PM,Regular season,Minnesota Lynx,Las Vegas Aces,Target Center,Minneapolis,MN,7801,2023-07-22
2023,Sunday,July,23,3:00 PM,Regular season,New York Liberty,Indiana Fever,Barclays Center,Brooklyn,NY,7371,2023-07-23
2023,Sunday,July,23,1:00 PM,Regular season,Washington Mystics,Phoenix Mercury,Entertainment and Sports Arena,Washington,DC,4200,2023-07-23
2023,Tuesday,July,25,7:00 PM,Regular season,Atlanta Dream,Phoenix Mercury,Gateway Center Arena @ College Park,Atlanta,GA,3209,2023-07-25
2023,Tuesday,July,25,7:00 PM,Regular season,New York Liberty,Seattle Storm,Barclays Center,Brooklyn,NY,6118,2023-07-25
2023,Tuesday,July,25,7:00 PM,Regular season,Chicago Sky,Las Vegas Aces,Wintrust Arena,Chicago,IL,9025,2023-07-25
2023,Tuesday,July,25,8:00 PM,Regular season,Dallas Wings,Connecticut Sun,College Park Center,Arlington,TX,4222,2023-07-25
2023,Tuesday,July,25,10:00 PM,Regular season,Los Angeles Sparks,Indiana Fever,Crypto.com Arena,Los Angeles,CA,5565,2023-07-25
2023,Wednesday,July,26,8:00 PM,Regular season,Minnesota Lynx,Washington Mystics,Target Center,Minneapolis,MN,7024,2023-07-26
2023,Thursday,July,27,11:00 AM,Regular season,Los Angeles Sparks,Indiana Fever,Crypto.com Arena,Los Angeles,CA,11970,2023-07-27
2023,Thursday,July,27,7:00 PM,Regular season,New York Liberty,Atlanta Dream,Barclays Center,Brooklyn,NY,6206,2023-07-27
2023,Friday,July,28,8:00 PM,Regular season,Chicago Sky,Seattle Storm,Wintrust Arena,Chicago,IL,7213,2023-07-28
2023,Friday,July,28,8:00 PM,Regular season,Dallas Wings,Washington Mystics,College Park Center,Arlington,TX,4048,2023-07-28
2023,Sunday,July,30,1:00 PM,Regular season,Connecticut Sun,Minnesota Lynx,Mohegan Sun Arena,Uncasville,CT,8275,2023-07-30
2023,Sunday,July,30,3:00 PM,Regular season,Atlanta Dream,Washington Mystics,Gateway Center Arena @ College Park,Atlanta,GA,3209,2023-07-30
2023,Sunday,July,30,4:00 PM,Regular season,Indiana Fever,Seattle Storm,Gainbridge Fieldhouse,Indianapolis,IN,5196,2023-07-30
2023,Sunday,July,30,4:00 PM,Regular season,Chicago Sky,Phoenix Mercury,Wintrust Arena,Chicago,IL,8914,2023-07-30
2023,Sunday,July,30,6:00 PM,Regular season,Las Vegas Aces,Dallas Wings,Michelob ULTRA Arena,Las Vegas,NV,10213,2023-07-30
2023,Sunday,July,30,4:00 PM,Regular season,Los Angeles Sparks,New York Liberty,Crypto.com Arena,Los Angeles,CA,8139,2023-07-30
2023,Tuesday,August,1,7:00 PM,Regular season,Connecticut Sun,Minnesota Lynx,Mohegan Sun Arena,Uncasville,CT,4894,2023-08-01
2023,Tuesday,August,1,7:00 PM,Regular season,Indiana Fever,Phoenix Mercury,Gainbridge Fieldhouse,Indianapolis,IN,3018,2023-08-01
2023,Tuesday,August,1,10:00 PM,Regular season,Las Vegas Aces,Atlanta Dream,Michelob ULTRA Arena,Las Vegas,NV,8366,2023-08-01
2023,Tuesday,August,1,10:00 PM,Regular season,Los Angeles Sparks,New York Liberty,Crypto.com Arena,Los Angeles,CA,6498,2023-08-01
2023,Wednesday,August,2,6:00 AM,Regular season,Seattle Storm,Dallas Wings,Climate Pledge Arena,Seattle,WA,7421,2023-08-02
2023,Thursday,August,3,10:00 PM,Regular season,Phoenix Mercury,Atlanta Dream,Footprint Center,Phoenix,AZ,7564,2023-08-03
2023,Friday,August,4,7:00 PM,Regular season,Indiana Fever,Connecticut Sun,Gainbridge Fieldhouse,Indianapolis,IN,3498,2023-08-04
2023,Friday,August,4,7:00 PM,Regular season,Washington Mystics,Los Angeles Sparks,Entertainment and Sports Arena,Washington,DC,3747,2023-08-04
2023,Friday,August,4,8:00 PM,Regular season,Dallas Wings,Chicago Sky,College Park Center,Arlington,TX,3762,2023-08-04
