Year,Day of Week,Month,Day,Time (ET),Game Type,Home Team,Away Team,Arena,City,State,Attendance,Date
2022,Tuesday,May,31,9:00 PM,Regular season,Las Vegas Aces,Connecticut Sun,Michelob ULTRA Arena,Las Vegas,NV,4693,2022-05-31
2022,Tuesday,May,31,6:00 AM,Regular season,Los Angeles Sparks,Dallas Wings,Crypto.com Arena,Los Angeles,CA,4852,2022-05-31
2022,Wednesday,June,1,7:00 PM,Regular season,Atlanta Dream,Minnesota Lynx,Gateway Center Arena @ College Park,Atlanta,GA,1268,2022-06-01
2022,Wednesday,June,1,7:00 PM,Regular season,New York Liberty,Indiana Fever,Barclays Center,Brooklyn,NY,4079,2022-06-01
2022,Thursday,June,2,10:00 PM,Regular season,Las Vegas Aces,Connecticut Sun,Michelob ULTRA Arena,Las Vegas,NV,3801,2022-06-02
2022,Friday,June,3,7:00 PM,Regular season,Washington Mystics,New York Liberty,Entertainment and Sports Arena,Washington,DC,3857,2022-06-03
2022,Friday,June,3,3:00 AM,Regular season,Atlanta Dream,Chicago Sky,Gateway Center Arena @ College Park,Atlanta,GA,3138,2022-06-03
2022,Friday,June,3,10:00 PM,Regular season,Phoenix Mercury,Connecticut Sun,Footprint Center,Phoenix,AZ,7180,2022-06-03
2022,Friday,June,3,10:00 PM,Regular season,Seattle Storm,Dallas Wings,Climate Pledge Arena,Seattle,WA,8023,2022-06-03
2022,Sunday,June,5,2:00 PM,Regular season,New York Liberty,Minnesota Lynx,Barclays Center,Brooklyn,NY,4119,2022-06-05
2022,Sunday,June,5,3:00 PM,Regular season,Atlanta Dream,Indiana Fever,Gateway Center Arena @ College Park,Atlanta,GA,3000,2022-06-05
2022,Sunday,June,5,6:00 PM,Regular season,Chicago Sky,Washington Mystics,Wintrust Arena,Chicago,IL,6228,2022-06-05
2022,Sunday,June,5,6:00 PM,Regular season,Las Vegas Aces,Dallas Wings,Michelob ULTRA Arena,Las Vegas,NV,4814,2022-06-05
2022,Sunday,June,5,6:00 PM,Regular season,Phoenix Mercury,Los Angeles Sparks,Footprint Center,Phoenix,AZ,10151,2022-06-05
2022,Sunday,June,5,6:00 PM,Regular season,Seattle Storm,Connecticut Sun,Climate Pledge Arena,Seattle,WA,11330,2022-06-05
2022,Tuesday,June,7,8:00 PM,Regular season,New York Liberty,Minnesota Lynx,Barclays Center,Brooklyn,NY,3196,2022-06-07
2022,Tuesday,June,7,10:00 PM,Regular season,Seattle Storm,Atlanta Dream,Climate Pledge Arena,Seattle,WA,7262,2022-06-07
2022,Wednesday,June,8,7:00 PM,Regular season,Connecticut Sun,Indiana Fever,Mohegan Sun Arena,Uncasville,CT,4088,2022-06-08
2022,Wednesday,June,8,8:00 PM,Regular season,Washington Mystics,Chicago Sky,Entertainment and Sports Arena,Washington,DC,2984,2022-06-08
2022,Friday,June,10,7:00 PM,Regular season,Connecticut Sun,Chicago Sky,Mohegan Sun Arena,Uncasville,CT,4816,2022-06-10
2022,Friday,June,10,7:00 PM,Regular season,Indiana Fever,New York Liberty,Indiana Farmers Coliseum,Indianapolis,IN,1393,2022-06-10
2022,Friday,June,10,8:00 PM,Regular season,Dallas Wings,Seattle Storm,College Park Center,Arlington,TX,3292,2022-06-10
2022,Friday,June,10,8:00 PM,Regular season,Minnesota Lynx,Washington Mystics,Target Center,Minneapolis,MN,6315,2022-06-10
2022,Friday,June,10,10:00 PM,Regular season,Phoenix Mercury,Atlanta Dream,Footprint Center,Phoenix,AZ,7650,2022-06-10
2022,Saturday,June,11,9:00 PM,Regular season,Los Angeles Sparks,Las Vegas Aces,Crypto.com Arena,Los Angeles,CA,8200,2022-06-11
2022,Sunday,June,12,2:00 PM,Regular season,New York Liberty,Chicago Sky,Barclays Center,Brooklyn,NY,4810,2022-06-12
2022,Sunday,June,12,4:00 PM,Regular season,Dallas Wings,Seattle Storm,College Park Center,Arlington,TX,3273,2022-06-12
2022,Sunday,June,12,6:00 PM,Regular season,Washington Mystics,Phoenix Mercury,Entertainment and Sports Arena,Washington,DC,4200,2022-06-12
2022,Sunday,June,12,7:00 PM,Regular season,Minnesota Lynx,Indiana Fever,Target Center,Minneapolis,MN,6806,2022-06-12
2022,Tuesday,June,14,7:00 PM,Regular season,Washington Mystics,Phoenix Mercury,Entertainment and Sports Arena,Washington,DC,3088,2022-06-14
2022,Tuesday,June,14,9:00 PM,Regular season,Minnesota Lynx,Seattle Storm,Target Center,Minneapolis,MN,6031,2022-06-14
2022,Wednesday,June,15,1:00 PM,Regular season,Dallas Wings,Las Vegas Aces,College Park Center,Arlington,TX,4375,2022-06-15
2022,Wednesday,June,15,7:00 PM,Regular season,Connecticut Sun,Atlanta Dream,Mohegan Sun Arena,Uncasville,CT,4014,2022-06-15
2022,Wednesday,June,15,7:00 PM,Regular season,Indiana Fever,Phoenix Mercury,Indiana Farmers Coliseum,Indianapolis,IN,1824,2022-06-15
